movie,Bechdel_test
The Midnight Man,pass
Midnight Special,nopass
Mike and Dave Need Wedding Dates,pass
Miss Peregrine's Home for Peculiar Children,pass
Miss Saigon: 25th Anniversary,nopass
Miss Sloane,pass
Moana,nopass
Moana,pass
Money Monster,pass
Monster High: Welcome to Monster High,pass
Monster Trucks,nopass
Moonlight,nopass
Morgan,pass
Mother's Day,pass
Mr. Church,pass
Mr. Right,nopass
My Big Fat Greek Wedding 2,pass
My Life as a Zucchini,pass
My Little Pony: Equestria Girls - Legend of Everfree,pass
Ne gledaj mi u pijat,nopass
Neighbors 2: Sorority Rising,pass
The Neon Demon,pass
Neruda,nopass
Nerve,pass
The Nice Guys,pass
Nine Lives,nopass
Nocturnal Animals,pass
Norm of the North,pass
Norman,nopass
Now You See Me 2,nopass
Nowhere Boys: The Book of Shadows,pass
Nowhereland,pass
Office Christmas Party,pass
Other People,pass
Ouija: Origin of Evil,pass
Our Kind of Traitor,pass
Pandemic,pass
Passengers,nopass
Paterson,nopass
Patients,nopass
The Perfect Match,nopass
Personal Shopper,pass
Pet,nopass
Pete's Dragon,pass
Petersburg: a selfie,pass
Pink,pass
Planetarium,pass
Popstar: Never Stop Never Stopping,nopass
Prevenge,pass
Pride and Prejudice and Zombies,pass
The Purge: Election Year,pass
Quand on a 17 ans,pass
Queen of Katwe,pass
Réparer les vivants,nopass
Raising the Bar,pass
Raman Raghav 2.0,nopass
Ratchet & Clank,pass
Raw,pass
Realive,nopass
The Red Pill,pass
The Red Turtle,nopass
Resident Evil: The Final Chapter,pass
Ride Along 2,nopass
The Rocky Horror Picture Show: Let's Do the Time Warp Again,pass
Rogue One,pass
Rustom,pass
São Jorge,nopass
Sausage Party,pass
The Secret Life of Pets,nopass
Sensitivity Training,pass
Seoulyeok [Seoul Station],nopass
The Shallows,pass
Sharknado 4: The 4th Awakens,pass
Shin Godzilla,nopass
The Siege of Jadotville,nopass
Silence,nopass
Sing,pass
Sing Street,nopass
Sluga naroda 2,nopass
Snowden,nopass
Southside with You,nopass
Spa Night,pass
Spidarlings,pass
Split,pass
Star Trek Beyond,nopass
Storks,nopass
Suicide kale,pass
Suicide Squad,pass
Sully,nopass
Swiss Army Man,nopass
Tallulah,pass
Teenage Mutant Ninja Turtles: Out of the Shadows,pass
Tenemos la carne [We Are the Flesh],nopass
Their Finest,pass
Things to come - L'avenir,nopass
Thomas & Friends: The Great Race,pass
The Ticket,nopass
Toni Erdmann,pass
Tramps,nopass
The Transfiguration,nopass
Triple 9,pass
Trolls,pass
True Memoirs of an International Assassin,nopass
Tschick,nopass
Un homme a la hauteur,pass
Una,nopass
Under The Shadow,pass
Underworld: Blood Wars,nopass
The Untamed,pass
Vampires In Virginia,pass
Varoonegi,pass
Vier gegen die Bank,nopass
The Void,pass
Voltron: Legendary Defender,pass
Vse o muzhchinakh,nopass
War Dogs,nopass
War on Everyone,pass
Warcraft,pass
Whiskey Tango Foxtrot,pass
Wiener-Dog,nopass
Women Who Kill,pass
X-Men: Apocalypse,pass
Yoga Hosers,nopass
The Young Offenders,pass
Yu-Gi-Oh!: The Dark Side of Dimensions,nopass
Zoombies,pass
Zootopia,pass
The 33,pass
The 3Tails Movie: A Mermaid Adventure,pass
45 Years,pass
600 millas [600 Miles],nopass
7 Letters,pass
A Country Called Home,pass
A German Youth,nopass
A Little Chaos,pass
A Perfect Day,nopass
A Royal Night Out,pass
A Sort of Homecoming,pass
A Walk in the Woods,nopass
Absolutely Anything,pass
Advantageous,pass
After the Ball,pass
AfterDeath,pass
The Age of Adaline,pass
Almost Mercy,nopass
Aloha,pass
Already Tomorrow in Hong Kong,nopass
Aluguel: O Filme,nopass
Alvin and the Chipmunks: The Road Chip,nopass
American Ultra,nopass
Anamolisa,nopass
Angry Indian Goddesses,pass
Anguish,pass
Anna Unbound,pass
Ant-Man,nopass
The assassin,nopass
Atrapa la bandera [Capture the Flag],nopass
Ava's Possession,pass
Avengers: Age of Ultron,pass
Avril et le monde truque,pass
Baahubali: The Beginning,nopass
Bad Hair Day,pass
Bajirao Mastani,nopass
Barely Lethal,pass
Batman Unlimited: Animal Instincts,nopass
Battle For Sevastopol,pass
Battledream Chronicle,pass
Beasts of No Nation,nopass
Bessie,pass
The Big Short,nopass
Bill,nopass
Birigyaru,pass
Black Mass,nopass
The Blackcoat's Daughter,pass
Blackhat,nopass
Bloodsucking Bastards,nopass
Boi Neon,pass
Bound,pass
Bridge of Spies,nopass
The Bronze,pass
Brooklyn,pass
brothers of the wind,nopass
Burn Burn Burn,pass
By the Sea,pass
Captive,pass
Carol,pass
The Case of Hana and Alice,pass
Chappie,nopass
Chi-Raq,pass
Child 44,nopass
Cinderella,pass
Circle,nopass
The Colony,pass
Comment c'est loin,nopass
Comoara,nopass
Concussion,nopass
Creed,nopass
Crimson Peak,pass
Daddy's Home,nopass
The Danish Girl,pass
Demolition,nopass
Descendants,pass
The Diary of a Teenage Girl,pass
Do You Believe?,pass
Dofus - Livre 1: Julith,pass
Dolly Parton's Coat of Many Colors,pass
Dope,nopass
Dora oder Die sexuellen Neurosen unserer Eltern,pass
Dragon Ball Z: Resurrection 'F',nopass
The Dressmaker,pass
Drunk Wedding,nopass
The DUFF,pass
The Duke of Burgundy,pass
Eaters,nopass
Embers,nopass
Emelie,pass
The End of the Tour,nopass
Entourage,nopass
Equals,pass
The Ethicist,pass
Everest,nopass
Evolution,nopass
Ex Machina,nopass
Experimenter,nopass
Eye in the Sky,pass
Family Fang,pass
Fantastic Four,nopass
Far From the Madding Crowd,pass
Fathers & Daughters,pass
Feeheld,pass
Fifty Shades of Grey,pass
The Final Girls,pass
Focus,nopass
The Four Warriors,nopass
Fourth Man Out,nopass
Frau Muller muss weg,pass
Full Out,pass
Furious 7,pass
Get Hard,nopass
Ghosthunters,pass
The Gift,pass
The Girl King,pass
Girls Lost,pass
The Good Dinosaur,pass
Goosebumps,nopass
Grandma,pass
The Great Gilly Hopkins,pass
The Green Inferno,pass
Green Room,pass
The Gunman,nopass
Halal Love,pass
Harbinger Down,pass
Harter Brocken,pass
The Hateful Eight,pass
Hedi Schneider steckt fest,pass
"Hello, My Name Is Doris",pass
Hidden,pass
High Rise,nopass
Highway to Hellas,nopass
Hitman: Agent 47,nopass
The Hollow,pass
Home,pass
Hot Pursuit,nopass
Hotel Transylvania 2,pass
Hrutar,nopass
The Hunger Games: Mockingjay - Part 2,pass
I'll See You in My Dreams,pass
Il racconto dei racconti,pass
In the Heart of the Sea,nopass
Inside Out,pass
Insidious: Chapter 3,pass
Insurgent,pass
The Intern,pass
Into the Forest,pass
Intruders,pass
Invisible Sister,pass
The Invitation,pass
Ip Man 3,nopass
Irrational Man,nopass
Je suis un soldat,pass
Jem and the Holograms,pass
John From,pass
Joy,pass
Jupiter Ascending,pass
Jurassic World,pass
Just Jim,nopass
Justice League: Throne of Atlantis,pass
Krampus,pass
Kung Fury,nopass
L'antiquaire,pass
L'attesa,pass
La belle saison,pass
La loi du marché,nopass
La memoria del agua,nopass
La Passion d'Augustine,pass
The Lady in the Van,pass
Last Knights,nopass
The Last Witch Hunter,pass
Lavalantula,pass
The Lazarus Effect,pass
Legend,pass
Les ogres,pass
Life,pass
Little Big Master,pass
The little prince,pass
"Liza, the fox fairy",pass
The Lobster,pass
London Spy,nopass
Long Way North,nopass
The Longest Ride,pass
Louder Than Bombs,nopass
Love Live! The School Idol Movie,pass
Love the Coopers,pass
Macbeth,nopass
Mad Max: Fury Road,pass
Madame Bovary,nopass
Maend & hons,nopass
Maggie's Plan,pass
Magic Mike XXL,pass
The Man from U.N.C.L.E.,pass
Man Up,pass
The Man Who Knew Infinity,nopass
Marguerite,pass
The Martian,pass
Maryland,nopass
Max,pass
Maze Runner: The Scorch Trials,pass
Me and Earl and the Dying Girl,pass
Meadowland,pass
The Meddler,pass
Miles Ahead,nopass
"Milyy Khans, dorogoy Pyotr",nopass
Min lilla syster,pass
Minions,pass
Miss You Already,pass
Mission: Impossible - Rogue Nation,nopass
Mistres America,pass
Mojave,nopass
Montanha,nopass
Mortdecai,nopass
Mr. Holmes,nopass
The Murder Pact,pass
Mustang,pass
My Little Pony: Equestria Girls - Friendship Games,pass
My Name Is Emily,pass
Mythica: The Darkspore,pass
Never Let Go,nopass
Next Stop L.A.,pass
Nil Battey Sannata,pass
O Desolado,pass
Office,pass
Other Halves,pass
Our Little Sister,pass
The Overnight,pass
Pan,nopass
Papertowns,nopass
Parched,pass
Paul Blart: Mall Cop 2,nopass
Pawn Sacrifice,nopass
The Peanuts Movie,pass
The Perfect Guy,nopass
Phoenix Incident,nopass
The Phoenix Project,nopass
Pitch Perfect 2,pass
Pixels,nopass
Point Break,nopass
Portrait of a Serial Monogamist,pass
Predator Dark Ages,nopass
Psychosis,pass
Que Horas Ela Volta?,pass
Queen of Earth,pass
The Reason I Shop Online,pass
The Revenant,nopass
Riaru onigokko,pass
Ricki and the Flash,pass
The Ridiculous 6,nopass
Roald Dahl's Esio Trot,nopass
Room,pass
Run All Night,nopass
Samurai Warrior Queens,pass
San Andreas,pass
Schneider vs. Bax,nopass
Scouts Guide to the Zombie Apocalypse,nopass
The Second Best Exotic Marigold Hotel,pass
Self/less,nopass
Septembers of Shiraz,pass
Sharknado 3: Oh Hell No!,pass
Shaun the Sheep Movie,nopass
Shisha no teikoku (Empire of Corpses),nopass
Sicario,nopass
The Sin Seer,pass
Sisters,pass
Sleeping with Other People,pass
Slow Learners,pass
Slow West,nopass
Southpaw,nopass
Spectre,nopass
The SpongeBob Movie: Sponge Out of Water,nopass
Spotlight,nopass
Spy,pass
The Stanford Prison Experiment,nopass
Star Wars: The Force Awakens,pass
The Steps,pass
Steve Jobs,pass
Stitcher,nopass
Straight Outta Compton,nopass
Strange Magic,pass
Suffragette,pass
The Summer of Sangaile,pass
Sunset Song,pass
Survivor,pass
Sweet Bean,pass
Sword of Vengeance,nopass
Synchronicity,nopass
Tangerine,pass
Taxi,pass
Ted 2,nopass
Teen Beach 2,pass
Tempête,nopass
Terminator Genisys,nopass
Testament of Youth,pass
They Call Me Jeeg Robot,nopass
This changes everything,pass
The Three Es,pass
Throne,pass
Tiger House,pass
Till We Meet Again,pass
Timelike,pass
Titli,nopass
Tjuvheder,pass
Tod den Hippies!! Es lebe der Punk!,nopass
Tomorrowland,pass
Trainwreck,pass
The Transporter Refueled,pass
True Story,nopass
Trumbo,pass
Trust Fund,pass
Turbo Kid,nopass
"Un peu, beaucoup, aveuglement!",pass
Uncanny,nopass
Unexpected,pass
Unfinished Business,nopass
Until Dawn,pass
Vacation,pass
Vampyres,pass
VANish,nopass
Vice,pass
Victor Frankenstein,nopass
Victoria,nopass
The Visit,pass
The VVitch: A New-England Folktale,pass
The Walk,nopass
The Wave (Bølgen),pass
The Wedding Ringer,pass
Welcome To Happiness,nopass
The Wiz Live!,pass
Wo shi zheng ren,nopass
Woman in Gold,pass
Woodlawn,nopass
World of Tomorrow,pass
You're My Boss,nopass
Youth,nopass
Z for Zachariah,nopass
'71,nopass
22 Jump St,nopass
3 Days to Kill,pass
300: Rise of an Empire,nopass
5 Flights Up,pass
A Brilliant Young Mind,nopass
A coup sur,nopass
A Girl Walks Home Alone at Night,pass
A Long Way Down,pass
A Million Ways to Die in the West,nopass
A Most Violent Year,pass
A Most Wanted Man,nopass
A Noite da Virada,pass
A Walk Among the Tombstones,nopass
About a Girl,pass
About Last Night,nopass
The Adventurer: The Curse of the Midas Box,nopass
Agatha Raisin: The Quiche of Death,pass
Alex of Venice,pass
"Alexander and the Terrible, Horrible, No Good Very Bad Day",pass
Alles Inklusive,pass
Aloft,pass
Alpha House,nopass
Amazing Spider-Man 2,nopass
American Sniper,nopass
Amour fou,nopass
Anatomy of a Love Seen,pass
